Material Exchange Platform (MEP),Host,Logo,Website,Platform type,Exchange type,Audience,Material exchanged,,Need to create an account?,Cost to use the platform,Exchange logistics,Can waiting requests be made for specific materials?,Continued availability of material known?,Cost of materials known?,Provenance known?,Quantity  known?,Quality known?,Colour known?,Location,Address Line 1,Address Line 2,Address Line 3,Town,Postcode,County,Country,Colour,,,,,,,,,,,,,,,,,,,,,,,,
Jericho Wood Shack,National Community Wood Recycling Project,,https://www.jerichowoodshack.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Birmingham,The Old Depot,Sutton Coldfield,,Sutton Coldfield,B75 7BB,Birmingham,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Bristol Wood Recycling Project,National Community Wood Recycling Project,,https://www.bwrp.org.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy over phone or in store,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Bristol,Unit 4,William Street,,Bristol,BS2 0RG,Bristol,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Wood Saints,National Community Wood Recycling Project,,https://woodsaints.com/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Wolverhampton,The Wood Depot,Dixon Street,,Wolverhampton,WV2 2BX,Wolverhampton,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
East Midlands Wood Recycling,National Community Wood Recycling Project,,http://www.eastmidlandswoodrecycling.org.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Derby,The Old Pattern Shop,Unit 1,,Litchurch Lane,DE24 8AQ,Derby,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Somerset Wood Recycling,National Community Wood Recycling Project,,https://www.somersetwoodrecycling.co.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Buy in store. Contact to discuss possible donations,Don't know,Don't know,Unsure,Don't know,See in store,See in store,See in store,Weston-Super-Mare,The Motex Centre,Winterstoke Road,,Weston-Super-Mare,BS23 3YW,Somerset,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Reseiclo,National Community Wood Recycling Project,,http://www.reseiclo.co.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Cost depends on volume,Don't know,See in store,See in store,See in store,Newport,Unit 2 Harlequin Trading Estate,Aldernery Street,,Newport Gwent,NP20 5NH,Newport,Wales,Green,,,,,,,,,,,,,,,,,,,,,,,,
We're Eco,National Community Wood Recycling Project,,https://www.communitywoodrecycling.org.uk,Enterprise and shop,Buy  ,Any,Wood,,NA,Free ,Buy in store,Don't know,Don't know,Donation is free then items cost to purchase,Don't know,See in store,See in store,See in store,Somerset,Unit 2d Walronds Park,Isle Brewers,,Ilminster,TA3 6QP,Somerset,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Green Estate Waste Recycling,National Community Wood Recycling Project,,http://greenestaterecycling.co.uk/,Recycling facility,Sell,Any,Wood and green waste,,NA,Free ,Drop off at site,Don't know,Don't know,Cost depends on volume,NA,NA,NA,NA,Sheffield,Head Office,Manor Oaks Farmhouse,389 Manor Lane,Sheffield,S2 1UL,Sheffield,England,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Humber Wood Recycling Project,National Community Wood Recycling Project,,https://www.humberwoodrecycling.org.uk/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Hull,Unit 2 Cornwall Street,,,Hull,HU8 8AF,Hull,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
EMERGE Touch Wood,National Community Wood Recycling Project,,https://www.emerge3rs.co.uk/touchwood/,Enterprise and shop,Buy and sell,Any,Wood,,NA,Free ,Donate by arrangement with store. Buy in store,Don't know,Don't know,Cost depends on donation and purchase amounts and type,Don't know,See in store,See in store,See in store,Manchester,EMERGE Recycling,"New Smithfield market, Whitworth Street East",,Manchester,M11 2WJ,Manchester,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
